x,y,z,yaw
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
2.75265,3.30427,-0.244389,1.53059
1.14151,0.656151,0.0471667,1.6094
1.15217,0.642462,0.0417364,1.66972
1.17562,0.694504,0.0401493,1.64951
1.12616,0.694108,0.0361174,1.5559
1.12534,0.686853,0.0259854,1.53807
1.0735,0.66627,0.0174071,1.48626
1.13483,0.736603,0.0201799,1.52161
1.1184,0.737498,0.020255,1.4606
1.12942,0.708781,0.0213716,1.43101
1.11383,0.704826,0.0278601,1.45575
1.13966,0.700597,0.0370992,1.57484
1.14765,0.750247,0.054397,1.50995
1.13346,0.752605,0.0633486,1.44755
1.1561,0.74785,0.0691475,1.50452
1.18488,0.743483,0.0912108,1.58409
1.16042,0.724236,0.0993656,1.57526
1.12185,0.677709,0.112418,1.62519
1.15575,0.688728,0.132246,1.6482
1.12838,0.663676,0.153291,1.60829
1.0484,0.623055,0.16908,1.56029
1.10794,0.676448,0.192632,1.5912
1.15,0.69564,0.205481,1.67458
1.07535,0.643442,0.208245,1.64518
1.13048,0.623748,0.212126,1.70579
1.16986,0.66814,0.22003,1.68786
1.18181,0.684184,0.223037,1.64922
1.11025,0.635545,0.217486,1.57395
1.09106,0.643679,0.218563,1.53347
1.07253,0.598061,0.215359,1.56892
1.05705,0.592773,0.216362,1.51748
1.06532,0.591694,0.220287,1.58252
1.07637,0.574703,0.220794,1.61184
1.13823,0.624408,0.227323,1.59253
1.01761,0.536193,0.21563,1.56722
1.09442,0.571865,0.216776,1.57441
1.06268,0.542688,0.207827,1.56065
1.07092,0.615338,0.206573,1.49056
1.06183,0.597975,0.194696,1.51721
1.00638,0.565197,0.180721,1.39388
1.07247,0.621568,0.157061,1.53258
1.08932,0.571749,0.130374,1.55819
1.09785,0.543555,0.107833,1.6011
1.10539,0.601687,0.0984589,1.54807
1.10002,0.650692,0.0948672,1.53719
1.00434,0.594229,0.0769029,1.53537
1.02863,0.608054,0.0718587,1.53336
1.00128,0.561403,0.0653984,1.56113
1.08379,0.583577,0.0703665,1.63401
1.02423,0.535741,0.0730737,1.52823
1.07104,0.562287,0.0856617,1.53847
1.08008,0.547729,0.0972943,1.57173
1.09265,0.550119,0.110845,1.59266
1.12232,0.549814,0.122634,1.57703
1.1223,0.558915,0.137923,1.54107
1.13832,0.542179,0.152394,1.54921
1.12018,0.486852,0.157661,1.55474
1.1012,0.498765,0.166743,1.51702
1.15273,0.522204,0.169305,1.53586
1.18699,0.464671,0.160088,1.64201
1.13053,0.461111,0.159213,1.61643
1.24464,0.538602,0.165379,1.66826
1.26208,0.509235,0.160517,1.69033
1.23456,0.50307,0.157728,1.5392
1.27407,0.510491,0.158615,1.61436
1.25839,0.528099,0.162197,1.52259
1.34003,0.543215,0.169346,1.60385
1.34106,0.492489,0.168574,1.63583
1.36994,0.5151,0.180574,1.61613
1.45384,0.587205,0.199275,1.651
1.50876,0.6184,0.209874,1.60333
1.47058,0.61544,0.213656,1.47245
1.49993,0.603016,0.213051,1.48306
1.57805,0.61246,0.213695,1.56516
1.57443,0.601941,0.208622,1.60322
1.41042,0.367423,0.176616,1.53207
1.31858,0.195646,0.148641,1.5713
1.29809,0.100551,0.125926,1.59183
1.25053,0.0858186,0.117113,1.60484
1.281,0.0689819,0.1116,1.60958
1.30854,0.0615044,0.108681,1.63057
1.30231,0.0547828,0.109154,1.59918
1.37501,0.0894377,0.118693,1.66605
1.38058,0.111262,0.126806,1.58465
1.44273,0.122592,0.133263,1.6469
1.49938,0.132373,0.140565,1.6739
1.55824,0.174794,0.147224,1.68413
1.59703,0.172767,0.150352,1.67804
1.60681,0.159967,0.150946,1.67825
1.35799,-0.200887,0.114617,1.66776
1.23633,-0.394974,0.100345,1.65876
1.16583,-0.516541,0.0958215,1.65572
1.16142,-0.572415,0.0992425,1.64657
1.16327,-0.59222,0.106011,1.63564
1.18979,-0.621384,0.112149,1.62598
1.20438,-0.626591,0.115712,1.62382
1.2252,-0.613045,0.125163,1.61511
1.21459,-0.629906,0.125833,1.61405
1.21027,-0.631296,0.129682,1.6092
1.2281,-0.621727,0.134184,1.60719
1.24279,-0.604646,0.138952,1.60726
1.2117,-0.605013,0.142957,1.6017
1.24685,-0.569818,0.147829,1.60126
1.2378,-0.56421,0.146885,1.59853
1.22931,-0.556564,0.146068,1.59915
1.23492,-0.561801,0.141737,1.59477
1.24631,-0.538341,0.136952,1.5976
1.23454,-0.564002,0.124978,1.59114
1.24314,-0.560556,0.118358,1.58821
1.17703,-0.547451,0.110234,1.52843
1.18766,-0.530674,0.102731,1.55946
1.17217,-0.543787,0.0970654,1.57146
1.17081,-0.528783,0.0931167,1.58043
1.16165,-0.519999,0.08884,1.58305
1.18462,-0.520775,0.084998,1.58286
1.1827,-0.528555,0.0809185,1.58483
1.19127,-0.538068,0.0792432,1.58913
1.21666,-0.500702,0.0857767,1.59059
1.25241,-0.490636,0.0889003,1.58682
1.24064,-0.502848,0.0872492,1.58957
1.23341,-0.506525,0.0864645,1.58548
1.24637,-0.492403,0.0864477,1.58452
1.2428,-0.498445,0.0821845,1.58176
1.2569,-0.489915,0.0815653,1.57887
1.25936,-0.465913,0.081506,1.58104
1.25277,-0.453775,0.0816595,1.58206
1.25279,-0.447572,0.0821381,1.57553
1.2714,-0.459579,0.0821234,1.57216
1.27589,-0.468599,0.0821883,1.57075
1.31483,-0.427366,0.088286,1.58852
1.32058,-0.424507,0.0897766,1.58838
1.35392,-0.421984,0.0905495,1.64961
1.38462,-0.42353,0.0897974,1.70078
1.37813,-0.433551,0.0883001,1.67638
1.4046,-0.411087,0.0908456,1.67053
1.41111,-0.441328,0.08688,1.69085
1.44196,-0.439285,0.0872303,1.70575
1.51992,-0.227108,0.113799,1.7131
1.54492,-0.149067,0.124027,1.70974
1.60145,-0.0544877,0.135761,1.7074
1.62492,-0.018205,0.140146,1.70279
1.65376,0.0079115,0.144031,1.69444
1.67311,0.0275041,0.147513,1.68942
1.69565,0.0429569,0.150216,1.68733
1.70992,0.0372193,0.150931,1.68028
1.75178,0.0632091,0.155496,1.66842
1.78242,0.0735321,0.1571,1.66295
1.81481,0.077926,0.157445,1.65513
1.84885,0.0760086,0.155475,1.64172
1.86653,0.0719653,0.153448,1.63496
1.90891,0.0843589,0.151944,1.62795
1.94588,0.113982,0.151431,1.62351
1.97468,0.110437,0.147067,1.62014
1.97552,0.110808,0.141403,1.61243
1.97892,0.12458,0.132732,1.60416
1.98865,0.128256,0.123064,1.59763
2.01374,0.109525,0.110955,1.63439
2.05455,0.118168,0.105175,1.66983
2.08448,0.119336,0.0954657,1.67509
2.07666,0.120697,0.0872863,1.62542
2.10853,0.12132,0.0830275,1.65692
2.22175,0.34475,0.107814,1.66453
2.35203,0.58244,0.134214,1.67652
2.44758,0.755427,0.154396,1.68279
2.53871,0.911888,0.174917,1.68583
2.56366,0.988285,0.186603,1.6621
2.58239,1.04075,0.196239,1.6468
2.6036,1.065,0.201699,1.65296
2.6598,1.13116,0.217093,1.66057
2.68969,1.16292,0.22766,1.6655
2.72716,1.20802,0.239607,1.66363
2.73093,1.2123,0.243103,1.66251
2.74667,1.22892,0.250499,1.65934
2.7587,1.24354,0.253777,1.65683
2.77557,1.26566,0.25623,1.65156
2.78819,1.28004,0.256592,1.65217
2.80183,1.29857,0.257229,1.64759
2.80771,1.30886,0.255227,1.64126
2.82096,1.32713,0.257211,1.63742
2.82767,1.33654,0.259996,1.6337
2.83518,1.34609,0.264242,1.63093
2.83449,1.34714,0.267216,1.6278
2.84981,1.36701,0.273347,1.62633
2.85742,1.37735,0.278364,1.62459
2.87087,1.39571,0.283671,1.62035
2.8661,1.39488,0.287456,1.613
2.87225,1.40463,0.290284,1.61027
2.89059,1.43015,0.294009,1.60685
2.89256,1.43583,0.293856,1.60355
2.89695,1.44619,0.292004,1.60093
2.8892,1.44214,0.289039,1.59711
2.89894,1.45756,0.28896,1.59637
2.89961,1.46391,0.289198,1.59428
2.90285,1.47141,0.293074,1.59478
2.90732,1.47955,0.296216,1.59435
2.91186,1.49498,0.305423,1.59378
2.91277,1.50351,0.310057,1.59093
2.90442,1.50415,0.313791,1.59032
2.90319,1.51869,0.318154,1.58913
2.90519,1.53206,0.320377,1.58928
2.89945,1.54492,0.323251,1.58887
2.90843,1.56734,0.326419,1.59119
2.90845,1.57646,0.327981,1.59121
2.89702,1.59545,0.332164,1.59287
2.89295,1.59551,0.332639,1.59298
2.89277,1.59977,0.333243,1.59804
3.08953,1.84362,0.363271,1.5923
3.13117,1.90757,0.375303,1.59553
3.03675,1.8231,0.374964,1.59953
2.98017,1.77478,0.377507,1.60157
3.0488,1.87071,0.393948,1.60726
2.99817,1.8238,0.395115,1.60634
2.95791,1.79353,0.401353,1.6049
2.93254,1.77159,0.40372,1.60461
2.90916,1.75503,0.406414,1.60438
2.89195,1.74055,0.406442,1.60369
2.85894,1.7148,0.407426,1.60321
2.86689,1.73196,0.411454,1.60432
2.85942,1.73375,0.413328,1.605
2.84428,1.72659,0.413064,1.60575
2.82642,1.7201,0.411122,1.60686
2.82096,1.72314,0.409788,1.60854
2.80799,1.72273,0.406723,1.61007
2.7879,1.71638,0.402939,1.60859
2.78218,1.72188,0.401645,1.60847
2.77962,1.73407,0.40102,1.61213
2.76697,1.73614,0.399249,1.6192
2.75564,1.73273,0.397848,1.62241
2.74252,1.73506,0.397543,1.62298
2.73382,1.73954,0.398689,1.62511
2.73538,1.75546,0.402377,1.63051
2.71132,1.74656,0.404437,1.63273
2.6934,1.74266,0.406002,1.63323
2.68347,1.74112,0.40728,1.63845
2.67356,1.7471,0.409759,1.63831
2.66106,1.74465,0.410541,1.63927
2.65432,1.75751,0.412977,1.64365
2.65419,1.77114,0.414084,1.64653
2.63864,1.7711,0.412167,1.65158
2.63266,1.78626,0.410932,1.662
2.62849,1.79025,0.410334,1.66609
2.61088,1.79935,0.408519,1.67133
2.5862,1.78638,0.404848,1.67748
2.57656,1.78827,0.404139,1.68087
2.55847,1.78032,0.40297,1.68332
2.55003,1.78843,0.404392,1.68685
2.52962,1.78543,0.405243,1.69209
2.52748,1.79041,0.406341,1.69559
2.51127,1.79121,0.408406,1.70133
2.49453,1.78896,0.410051,1.70366
2.47079,1.77717,0.410899,1.6742
2.47025,1.78789,0.413814,1.65148
2.47157,1.81275,0.419131,1.62066
2.46306,1.81129,0.419488,1.61312
2.42929,1.79151,0.417766,1.60076
2.42545,1.79308,0.417892,1.59676
2.40482,1.77841,0.415955,1.59085
2.39971,1.7849,0.416949,1.58634
2.39172,1.783,0.417404,1.5849
2.38996,1.79051,0.419054,1.5842
2.37421,1.77814,0.418227,1.58344
2.35833,1.77631,0.417716,1.58304
2.34156,1.77398,0.415277,1.58273
2.33051,1.77394,0.412634,1.58319
2.31272,1.76437,0.408129,1.58475
2.29208,1.75782,0.403721,1.58716
2.26584,1.76329,0.397667,1.59181
2.24431,1.76589,0.39332,1.59865
2.21287,1.75721,0.38805,1.60345
2.20307,1.77062,0.386924,1.60803
2.16849,1.76722,0.382892,1.61742
2.15774,1.77857,0.38299,1.62248
1.92675,1.3676,0.331415,1.63681
1.82221,1.17952,0.3084,1.64511
