x,y,z,yaw
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
2.61291,3.06597,-0.239918,1.48384
1.05917,0.595047,0.0439662,1.58067
1.06734,0.583738,0.0414616,1.61897
1.06734,0.583738,0.0414616,1.61897
1.07788,0.607401,0.0412128,1.60776
1.13308,0.654012,0.044997,1.64514
1.14573,0.661576,0.0438357,1.66872
1.16285,0.676065,0.0435487,1.68854
1.16999,0.660608,0.039601,1.70636
1.12491,0.639584,0.0349115,1.63873
1.12491,0.639584,0.0349115,1.63873
1.12021,0.668878,0.0361544,1.58962
1.08908,0.648698,0.0310087,1.54948
1.08768,0.669149,0.0306721,1.52231
1.11803,0.690604,0.0302734,1.57307
1.11803,0.690604,0.0302734,1.57307
1.1372,0.70147,0.0286738,1.6114
1.09932,0.676533,0.022439,1.56684
1.09412,0.688981,0.0206325,1.5312
1.08935,0.698666,0.019218,1.49985
1.08134,0.694342,0.016848,1.48067
1.11178,0.709112,0.0173153,1.54316
1.10909,0.674402,0.0129088,1.58772
1.0889,0.667851,0.0120119,1.54428
1.11244,0.678043,0.0140797,1.58795
1.1726,0.696153,0.0171867,1.54817
1.14691,0.692043,0.0182498,1.51482
1.13576,0.690576,0.0195783,1.49209
1.13309,0.700032,0.0231637,1.46952
1.10717,0.680353,0.0233847,1.45173
1.10717,0.680353,0.0233847,1.45173
1.08508,0.672627,0.0258936,1.43955
1.0655,0.652947,0.0270226,1.42815
1.12162,0.704906,0.036804,1.50519
1.11491,0.710523,0.0406768,1.48031
1.12851,0.714515,0.0442792,1.54412
1.13117,0.72926,0.0492965,1.51381
1.11742,0.724414,0.0523828,1.4841
1.08542,0.688679,0.0547495,1.4494
1.08361,0.689455,0.0579584,1.43667
1.11897,0.71263,0.063995,1.50565
1.13896,0.696691,0.066004,1.56475
1.13022,0.67571,0.0674193,1.61161
1.12098,0.676361,0.0711715,1.56526
1.10372,0.675724,0.0750063,1.53043
1.10023,0.649468,0.0759382,1.57542
1.12781,0.679776,0.0838582,1.60792
1.14136,0.680098,0.0891227,1.64057
1.12406,0.686675,0.0951502,1.58987
1.07657,0.702921,0.103982,1.55129
1.10654,0.70965,0.110914,1.60141
1.13264,0.707729,0.116365,1.63219
1.11905,0.707642,0.121733,1.58612
1.12594,0.696632,0.127075,1.6232
1.14477,0.705812,0.135388,1.65494
1.11845,0.686142,0.139644,1.60621
1.11374,0.688777,0.146036,1.56685
1.1213,0.681116,0.151754,1.60011
1.10112,0.6703,0.156701,1.56424
1.12114,0.694258,0.164899,1.53857
1.08391,0.681493,0.174402,1.55723
1.06226,0.700322,0.182913,1.5391
1.07335,0.713166,0.189383,1.51568
1.08741,0.684265,0.191063,1.56715
1.04267,0.641236,0.19082,1.60458
1.1082,0.676099,0.203003,1.65806
1.12845,0.682833,0.207139,1.6762
1.05292,0.636829,0.205579,1.62664
1.09057,0.646567,0.209028,1.65285
1.10233,0.652497,0.211643,1.66216
1.09918,0.63576,0.211488,1.68059
1.09918,0.63576,0.211488,1.68059
1.11141,0.63629,0.215104,1.66451
1.12002,0.671305,0.220488,1.62683
1.12002,0.671305,0.220488,1.62683
1.13183,0.653412,0.218629,1.65925
1.14236,0.641068,0.217737,1.66455
1.14185,0.674059,0.222053,1.62499
1.13027,0.686127,0.223466,1.5813
1.08556,0.642457,0.218283,1.55371
1.09548,0.636655,0.2175,1.56301
1.09026,0.647987,0.218727,1.53955
1.08178,0.647255,0.218978,1.53563
1.06857,0.612224,0.21571,1.57
1.05214,0.60119,0.214593,1.55155
1.08546,0.609067,0.216277,1.56123
1.04654,0.582064,0.215135,1.51277
1.04654,0.582064,0.215135,1.51277
1.05909,0.568339,0.21511,1.56458
1.08111,0.583211,0.217654,1.5746
1.09197,0.612337,0.221854,1.57809
1.0849,0.623996,0.224081,1.58075
1.08382,0.635564,0.226019,1.55323
1.09173,0.632775,0.226428,1.60001
1.09981,0.630598,0.226783,1.59272
1.11492,0.628325,0.227202,1.58641
1.11539,0.616906,0.226218,1.58546
1.09373,0.614572,0.226124,1.58672
1.05714,0.576433,0.221647,1.59014
1.04816,0.595505,0.222881,1.56438
