x,y,z,yaw
-0.0720294,-0.0199308,0.00487901,1.4809
-0.0719381,-0.0199844,0.00482023,1.48396
-0.0719432,-0.0200003,0.00493515,1.48495
-0.0719589,-0.0198855,0.00509619,1.48067
-0.0719974,-0.0199146,0.0055152,1.48157
-0.0719999,-0.0200847,0.00641718,1.48567
-0.0707141,-0.0190334,0.0148962,1.47915
-0.0651696,-0.0163895,0.0255126,1.48545
-0.0561049,-0.00669391,0.0608151,1.48816
-0.051275,-0.00103473,0.0912474,1.48836
-0.0471566,0.0136437,0.212619,1.48698
-0.0483869,0.0207474,0.293478,1.47944
-0.0442968,0.0282959,0.409316,1.48932
-0.0443819,0.0341142,0.498281,1.48495
-0.0442324,0.042923,0.615819,1.47801
-0.0437066,0.0502006,0.696379,1.48059
-0.0433841,0.0577149,0.751806,1.47873
-0.0428068,0.0629578,0.779582,1.47895
-0.0420446,0.0709084,0.808588,1.47913
-0.0415693,0.0796079,0.82593,1.47564
-0.0382086,0.0875277,0.824761,1.47725
-0.0376076,0.0941501,0.822066,1.47305
-0.0351034,0.10325,0.814697,1.46489
-0.0341372,0.115283,0.809366,1.45694
-0.0301312,0.125222,0.802384,1.43763
-0.030756,0.128834,0.79813,1.45432
-0.02819,0.137248,0.788658,1.4457
-0.0263825,0.142333,0.783446,1.43643
-0.0273484,0.150046,0.779778,1.44356
-0.0270174,0.152465,0.780399,1.47061
-0.0257839,0.157456,0.784385,1.47126
-0.0254562,0.162416,0.789,1.45889
-0.0245342,0.166042,0.797823,1.45853
-0.0235787,0.168218,0.805403,1.45963
-0.0237907,0.168985,0.810897,1.46121
-0.0255608,0.169809,0.821379,1.46292
-0.0278345,0.169502,0.832738,1.46186
-0.0304432,0.168708,0.846476,1.46085
-0.0301705,0.169265,0.851976,1.45075
-0.0356716,0.168006,0.871716,1.44649
-0.0377766,0.164879,0.892758,1.43883
-0.0388087,0.163421,0.898322,1.44044
-0.0431123,0.15987,0.911905,1.44316
-0.0494121,0.15524,0.927859,1.44866
-0.0520641,0.153476,0.936611,1.43756
-0.0544859,0.150732,0.941602,1.43886
-0.0601577,0.138861,0.945092,1.47817
-0.0624942,0.13699,0.946493,1.46528
-0.0658599,0.134795,0.948619,1.43604
-0.0701925,0.122999,0.946204,1.47694
-0.0741456,0.116856,0.946704,1.47659
-0.076539,0.111839,0.947074,1.47739
-0.0812432,0.108024,0.951797,1.46325
-0.0835933,0.103545,0.953349,1.46608
-0.0888958,0.0959075,0.956223,1.47598
-0.0928806,0.0914613,0.957677,1.46436
-0.0946503,0.0866505,0.955554,1.47632
-0.0974109,0.0814003,0.951339,1.47868
-0.0989122,0.0778006,0.943943,1.4708
-0.102463,0.0720105,0.939273,1.47573
-0.105143,0.0659771,0.928428,1.47711
-0.104895,0.062628,0.91886,1.47813
-0.105766,0.0566975,0.898202,1.4775
-0.10612,0.0505862,0.879212,1.47817
-0.106515,0.0431737,0.861026,1.47974
-0.107188,0.038588,0.853415,1.47563
-0.104961,0.0316786,0.844555,1.47556
-0.100167,0.0225457,0.832323,1.47757
-0.0986651,0.0196701,0.830418,1.47888
-0.0940152,0.0119193,0.831079,1.47581
-0.089716,0.00702238,0.833826,1.47833
-0.0829068,0.000945705,0.841941,1.4806
-0.0784109,-0.00318533,0.849159,1.48175
-0.0710309,-0.00814565,0.861503,1.48213
-0.0590756,-0.0144023,0.877269,1.48105
-0.0522348,-0.0177239,0.885345,1.48172
-0.0457781,-0.0202139,0.895018,1.47869
-0.0299537,-0.0256902,0.911464,1.48108
-0.0227641,-0.0264893,0.916697,1.47113
-0.0077198,-0.0310205,0.927289,1.48
8.02537e-05,-0.0313607,0.927262,1.47258
0.0141463,-0.034695,0.923864,1.48426
0.0261266,-0.0358206,0.922028,1.48564
0.0369276,-0.0353681,0.921543,1.47664
0.0516034,-0.0368612,0.920557,1.48463
0.0694232,-0.035683,0.919594,1.47801
0.0820132,-0.0345991,0.92103,1.47731
0.108209,-0.031855,0.921986,1.47914
0.115318,-0.0309707,0.924022,1.48095
0.137115,-0.0266455,0.932294,1.48254
0.164848,-0.0183294,0.944346,1.48143
0.178097,-0.0134775,0.951815,1.48194
0.200344,-0.00407897,0.957432,1.48102
0.22213,0.00654988,0.961464,1.48118
0.238852,0.0146597,0.961823,1.48228
0.263684,0.0268037,0.960532,1.48083
0.291159,0.0412215,0.956304,1.48192
0.306727,0.0511181,0.954005,1.47843
0.341447,0.0714567,0.944305,1.48299
0.352308,0.0781151,0.940028,1.48347
0.387472,0.100355,0.926245,1.48458
0.399315,0.107021,0.922835,1.48802
0.433004,0.12876,0.922353,1.48752
0.455743,0.142804,0.921523,1.49019
0.484017,0.16168,0.924327,1.48965
0.505448,0.175196,0.929246,1.49144
0.54796,0.201562,0.938685,1.49215
0.569156,0.214601,0.940447,1.49142
0.60262,0.234877,0.944824,1.49367
0.626631,0.250247,0.944896,1.49231
0.658583,0.270803,0.945429,1.49351
0.703854,0.300757,0.952333,1.49443
0.725946,0.315887,0.955238,1.49322
0.758683,0.340155,0.962947,1.49675
0.777728,0.355269,0.969066,1.4972
0.793759,0.368123,0.974101,1.49752
0.815912,0.386219,0.983495,1.49723
0.827729,0.396193,0.98785,1.49703
0.842847,0.410694,0.993524,1.49782
