x,y,z,yaw
-0.0719427,-0.0200055,0.00485744,1.48579
-0.0718881,-0.0199793,0.00466639,1.4802
-0.0718828,-0.0200334,0.00503778,1.48372
-0.071812,-0.0198704,0.0052485,1.48449
-0.0717619,-0.0198168,0.00642223,1.48306
-0.0707141,-0.0190334,0.0148962,1.47915
-0.0651696,-0.0163895,0.0255126,1.48545
-0.0561049,-0.00669391,0.0608151,1.48816
-0.051275,-0.00103473,0.0912474,1.48836
-0.0471566,0.0136437,0.212619,1.48698
-0.0483869,0.0207474,0.293478,1.47944
-0.0442968,0.0282959,0.409316,1.48932
-0.0443819,0.0341142,0.498281,1.48495
-0.0442324,0.042923,0.615819,1.47801
-0.0437066,0.0502006,0.696379,1.48059
-0.0439457,0.0604424,0.767867,1.477
-0.042374,0.0655791,0.790658,1.47892
-0.0420446,0.0709084,0.808588,1.47913
-0.0415693,0.0796079,0.82593,1.47564
-0.0394342,0.086,0.826556,1.46538
-0.0384103,0.0933798,0.823614,1.47167
-0.0356662,0.0988088,0.816687,1.47668
-0.0334491,0.112377,0.809803,1.45896
-0.0320656,0.121027,0.806198,1.44136
-0.030756,0.128834,0.79813,1.45432
-0.029789,0.131015,0.793907,1.46142
-0.0265328,0.140196,0.785375,1.43707
-0.0279295,0.143582,0.779173,1.47027
-0.0263391,0.151567,0.778595,1.4605
-0.025849,0.154453,0.780914,1.47097
-0.0254562,0.162416,0.789,1.45889
-0.0253485,0.16405,0.792242,1.46006
-0.0240337,0.167415,0.803026,1.4611
-0.023837,0.168645,0.808344,1.46196
-0.0248023,0.169643,0.817319,1.46267
-0.0261021,0.16981,0.824753,1.462
-0.0284265,0.169088,0.83732,1.46372
-0.0301705,0.169265,0.851976,1.45075
-0.0339887,0.168667,0.864854,1.44843
-0.0352103,0.166477,0.880846,1.4405
-0.0382307,0.163558,0.896549,1.44056
-0.042619,0.160704,0.907463,1.44809
-0.0468995,0.157971,0.919459,1.44843
-0.0519472,0.153274,0.936169,1.44179
-0.0542874,0.150623,0.940096,1.44798
-0.0564287,0.146341,0.945072,1.44022
-0.0623662,0.14161,0.948423,1.44263
-0.0649413,0.136719,0.949314,1.43723
-0.068594,0.125407,0.946106,1.47585
-0.0718456,0.122571,0.947052,1.4642
-0.0756038,0.115801,0.947497,1.46667
-0.0778516,0.110013,0.948204,1.47705
-0.08228,0.105963,0.952355,1.46445
-0.0872614,0.0981527,0.955435,1.47388
-0.0912368,0.0933541,0.95688,1.46467
-0.0946503,0.0866505,0.955554,1.47632
-0.0959748,0.0859027,0.955505,1.46602
-0.0990853,0.0784748,0.947342,1.47941
-0.100168,0.074775,0.94174,1.47784
-0.103643,0.070441,0.937345,1.47465
-0.104182,0.0642086,0.92311,1.47764
-0.105126,0.0607982,0.912345,1.47772
-0.106746,0.0547866,0.8935,1.47712
-0.106848,0.0495504,0.877762,1.48007
-0.106515,0.0431737,0.861026,1.47974
-0.1053,0.0362439,0.848455,1.47888
-0.104961,0.0316786,0.844555,1.47556
-0.100167,0.0225457,0.832323,1.47757
-0.0986651,0.0196701,0.830418,1.47888
-0.0940152,0.0119193,0.831079,1.47581
-0.089716,0.00702238,0.833826,1.47833
-0.0829068,0.000945705,0.841941,1.4806
-0.0784109,-0.00318533,0.849159,1.48175
-0.0710309,-0.00814565,0.861503,1.48213
-0.0590756,-0.0144023,0.877269,1.48105
-0.0522348,-0.0177239,0.885345,1.48172
-0.0457781,-0.0202139,0.895018,1.47869
-0.0299537,-0.0256902,0.911464,1.48108
-0.0227641,-0.0264893,0.916697,1.47113
-0.0077198,-0.0310205,0.927289,1.48
8.02537e-05,-0.0313607,0.927262,1.47258
0.0141463,-0.034695,0.923864,1.48426
0.0261266,-0.0358206,0.922028,1.48564
0.0369276,-0.0353681,0.921543,1.47664
0.0516034,-0.0368612,0.920557,1.48463
0.0694232,-0.035683,0.919594,1.47801
0.0820132,-0.0345991,0.92103,1.47731
0.108209,-0.031855,0.921986,1.47914
0.115318,-0.0309707,0.924022,1.48095
0.137115,-0.0266455,0.932294,1.48254
0.15736,-0.0213693,0.940341,1.48287
0.178097,-0.0134775,0.951815,1.48194
0.193449,-0.00699761,0.95624,1.48099
0.213132,0.00314652,0.963797,1.48157
0.231158,0.0103619,0.961374,1.48415
0.248334,0.0188404,0.962261,1.48445
0.280304,0.0354873,0.958481,1.48109
0.306727,0.0511181,0.954005,1.47843
0.318152,0.0571064,0.949785,1.48108
0.352308,0.0781151,0.940028,1.48347
0.377734,0.0937779,0.929167,1.48655
0.399315,0.107021,0.922835,1.48802
0.433004,0.12876,0.922353,1.48752
0.455743,0.142804,0.921523,1.49019
0.484017,0.16168,0.924327,1.48965
0.496666,0.169366,0.926701,1.491
0.536683,0.194623,0.936821,1.4909
0.569156,0.214601,0.940447,1.49142
0.60262,0.234877,0.944824,1.49367
0.626631,0.250247,0.944896,1.49231
0.658583,0.270803,0.945429,1.49351
0.703854,0.300757,0.952333,1.49443
0.715814,0.308877,0.954208,1.49433
0.748352,0.332256,0.959995,1.49596
0.777728,0.355269,0.969066,1.4972
0.801856,0.374504,0.977188,1.49648
0.821351,0.390796,0.985703,1.49634
0.833458,0.401376,0.989989,1.49792
0.847056,0.415893,0.994976,1.49717
0.855025,0.426014,0.997138,1.49893
0.865274,0.440527,0.999698,1.49864
0.872621,0.4527,1.00182,1.49734
0.878223,0.464431,1.00579,1.49723
0.881413,0.472189,1.00777,1.49553
0.885357,0.482408,1.00953,1.49213
0.886341,0.488159,1.00922,1.49308
0.886574,0.496371,1.00544,1.49302
0.884892,0.503612,1.00089,1.49233
0.883613,0.509213,0.996933,1.49187
0.881944,0.515158,0.99009,1.49312
0.878923,0.520515,0.983315,1.49426
0.877703,0.52632,0.97536,1.49392
0.877256,0.531607,0.968085,1.4928
0.877215,0.536125,0.96139,1.49448
0.877058,0.542209,0.954682,1.49392
0.877233,0.547425,0.949633,1.49427
0.877367,0.552297,0.946245,1.49648
0.878289,0.55628,0.944029,1.49481
0.87873,0.561738,0.945442,1.49301
0.88045,0.566206,0.947098,1.49066
0.881323,0.569077,0.949704,1.49063
0.882826,0.572444,0.951603,1.49257
0.885432,0.577409,0.950889,1.49309
0.890671,0.58477,0.946727,1.49396
0.893967,0.588557,0.944493,1.49381
0.899655,0.593582,0.941136,1.49291
0.9069,0.597963,0.939319,1.49105
0.915684,0.601808,0.940168,1.49194
