x,y,z,yaw
-0.00440049,-0.272042,-1.42336,1.09167
-0.00439832,-0.272033,-1.42338,1.09167
-0.00439034,-0.271993,-1.42345,1.09167
-0.00437545,-0.271913,-1.4236,1.09165
-0.00435492,-0.271791,-1.4238,1.09164
-0.00434344,-0.271714,-1.42391,1.09163
-0.00431883,-0.271528,-1.42417,1.0916
-0.00429082,-0.271293,-1.42446,1.09157
-0.00425975,-0.271006,-1.42479,1.09154
-0.00422566,-0.270661,-1.42514,1.0915
-0.0041895,-0.270259,-1.42551,1.09146
-0.00415068,-0.269791,-1.4259,1.09142
-0.00411016,-0.269254,-1.4263,1.09137
-0.00406665,-0.268637,-1.42672,1.09132
-0.00402124,-0.267937,-1.42715,1.09126
-0.00397729,-0.267146,-1.42757,1.0912
-0.00393464,-0.266238,-1.42801,1.09113
-0.00389794,-0.265221,-1.42845,1.09106
-0.00386608,-0.264083,-1.4289,1.09097
-0.00385208,-0.263471,-1.42912,1.09093
-0.00382155,-0.261453,-1.42978,1.09079
-0.00381443,-0.259958,-1.43018,1.09069
-0.00382136,-0.257495,-1.43075,1.09052
-0.00383909,-0.255697,-1.43111,1.0904
-0.00383909,-0.255697,-1.43111,1.0904
-0.00394811,-0.250663,-1.43191,1.09007
-0.00401757,-0.248421,-1.43223,1.08992
-0.00410177,-0.246054,-1.43256,1.08976
-0.00420176,-0.243566,-1.43289,1.08958
-0.00431766,-0.24096,-1.43323,1.0894
-0.00444702,-0.238243,-1.43358,1.08921
-0.00459067,-0.23542,-1.43395,1.08901
-0.00474901,-0.232506,-1.43431,1.0888
-0.00492258,-0.229514,-1.43467,1.08858
-0.0051144,-0.226459,-1.43499,1.08836
-0.00532289,-0.223342,-1.43529,1.08813
-0.00554819,-0.22016,-1.43558,1.08789
-0.00579134,-0.216915,-1.43586,1.08765
-0.00605308,-0.213615,-1.43611,1.0874
-0.00619084,-0.211946,-1.43622,1.08728
-0.00711126,-0.201657,-1.43685,1.08649
-0.00745287,-0.19813,-1.43704,1.08621
-0.00763073,-0.196352,-1.43713,1.08607
-0.007813,-0.194564,-1.43722,1.08593
-0.00819189,-0.190964,-1.43738,1.08565
-0.00819189,-0.190964,-1.43738,1.08565
-0.00859166,-0.187347,-1.43751,1.08536
-0.00879833,-0.185529,-1.43758,1.08521
-0.00900955,-0.183705,-1.43764,1.08506
-0.00944413,-0.180041,-1.43777,1.08476
-0.00989541,-0.176368,-1.4379,1.08445
-0.00989541,-0.176368,-1.4379,1.08445
-0.0101272,-0.174528,-1.43796,1.08429
-0.0108472,-0.169013,-1.43816,1.08382
-0.0113498,-0.165348,-1.43829,1.0835
-0.0113498,-0.165348,-1.43829,1.0835
-0.0116074,-0.163521,-1.43836,1.08334
-0.0118689,-0.1617,-1.43843,1.08317
-0.0124032,-0.158081,-1.43858,1.08284
-0.0129557,-0.15452,-1.43871,1.08251
-0.0135245,-0.151027,-1.43882,1.08218
-0.0141065,-0.147605,-1.43895,1.08185
-0.0141065,-0.147605,-1.43895,1.08185
-0.0147001,-0.144257,-1.43911,1.08152
-0.0150015,-0.142618,-1.43919,1.08135
-0.0156127,-0.13941,-1.43939,1.08101
-0.0159221,-0.137843,-1.43951,1.08085
-0.0165482,-0.134789,-1.43976,1.08051
-0.0168644,-0.133305,-1.43991,1.08034
-0.0175038,-0.130428,-1.44022,1.08
-0.0181522,-0.127678,-1.44057,1.07966
-0.0184787,-0.126348,-1.44076,1.07949
-0.0188068,-0.125048,-1.44097,1.07932
-0.0191368,-0.123778,-1.4412,1.07915
-0.0201337,-0.120168,-1.44193,1.07864
-0.0204681,-0.119035,-1.44219,1.07847
-0.0208034,-0.117937,-1.44247,1.0783
-0.0211393,-0.116873,-1.44276,1.07813
-0.0218131,-0.114849,-1.44336,1.0778
-0.0224901,-0.112964,-1.444,1.07746
-0.0228286,-0.112071,-1.44433,1.0773
-0.0231661,-0.111211,-1.44468,1.07713
-0.0238383,-0.109595,-1.4454,1.07681
-0.024173,-0.108836,-1.44577,1.07665
-0.024506,-0.108106,-1.44615,1.07648
-0.0248374,-0.107404,-1.44655,1.07632
-0.0251666,-0.106728,-1.44696,1.07616
-0.0258178,-0.105457,-1.44781,1.07585
-0.0264602,-0.104288,-1.44868,1.07554
-0.0264602,-0.104288,-1.44868,1.07554
-0.027092,-0.103217,-1.44958,1.07523
-0.0274024,-0.102715,-1.45004,1.07508
-0.0280122,-0.101781,-1.45096,1.07478
-0.0286081,-0.100933,-1.45188,1.0745
-0.0289003,-0.100542,-1.45234,1.07436
-0.0291881,-0.100168,-1.4528,1.07422
-0.0297495,-0.0994701,-1.45372,1.07395
-0.0300222,-0.099143,-1.45418,1.07381
-0.0302893,-0.0988265,-1.45465,1.07368
-0.0305507,-0.0985204,-1.45513,1.07355
-0.0308067,-0.0982259,-1.45561,1.07342
-0.0310577,-0.0979438,-1.45608,1.0733
-0.0315427,-0.0974125,-1.45702,1.07305
-0.032003,-0.096914,-1.45795,1.07282
-0.0322243,-0.0966766,-1.45841,1.07271
-0.0328499,-0.0959943,-1.45978,1.07238
-0.0328499,-0.0959943,-1.45978,1.07238
-0.0332324,-0.0955603,-1.46067,1.07217
-0.0334122,-0.0953476,-1.46111,1.07207
-0.0335843,-0.0951408,-1.46155,1.07197
-0.0337486,-0.0949413,-1.46198,1.07188
-0.0341914,-0.0943752,-1.46322,1.07162
-0.0341914,-0.0943752,-1.46322,1.07162
-0.0344456,-0.0940172,-1.46402,1.07146
-0.0346659,-0.0936661,-1.46483,1.07131
-0.0347627,-0.0934945,-1.46522,1.07124
-0.0348504,-0.0933253,-1.46562,1.07117
-0.0350541,-0.0928285,-1.46682,1.07099
-0.0350541,-0.0928285,-1.46682,1.07099
-0.0351386,-0.0925143,-1.46762,1.07088
-0.0351645,-0.0923601,-1.46802,1.07083
-0.0351788,-0.0922086,-1.46842,1.07078
-0.0351812,-0.0920609,-1.46882,1.07074
-0.0351717,-0.0919171,-1.46922,1.0707
-0.035068,-0.0915134,-1.4704,1.07061
-0.0350073,-0.0913904,-1.4708,1.07058
-0.0349335,-0.0912715,-1.47119,1.07056
-0.0348461,-0.0911546,-1.47158,1.07055
-0.0346274,-0.0909211,-1.47239,1.07053
-0.0343502,-0.090683,-1.47323,1.07052
-0.0341898,-0.0905665,-1.47365,1.07053
-0.0338261,-0.0903482,-1.47447,1.07055
-0.033405,-0.0901512,-1.47526,1.07059
-0.033405,-0.0901512,-1.47526,1.07059
-0.0329218,-0.0899593,-1.47604,1.07065
-0.0323725,-0.0897613,-1.47682,1.07072
-0.0320716,-0.0896539,-1.47721,1.07077
-0.0320716,-0.0896539,-1.47721,1.07077
-0.0314154,-0.0894249,-1.47801,1.07088
-0.0310588,-0.0893019,-1.47841,1.07093
-0.0302884,-0.0890395,-1.47921,1.07107
-0.0294418,-0.0887443,-1.48001,1.07123
-0.028517,-0.0884058,-1.48081,1.0714
-0.028517,-0.0884058,-1.48081,1.0714
-0.0280252,-0.0882171,-1.48121,1.0715
-0.0275134,-0.0880172,-1.4816,1.0716
-0.0264291,-0.0875759,-1.48239,1.07182
-0.0252605,-0.0870673,-1.48319,1.07205
-0.0246439,-0.0867869,-1.48359,1.07218
-0.0226644,-0.0858517,-1.4848,1.07259
-0.0226644,-0.0858517,-1.4848,1.07259
-0.0212333,-0.0851493,-1.4856,1.0729
-0.0204835,-0.0847719,-1.486,1.07306
-0.0197103,-0.0843734,-1.48641,1.07322
-0.0189132,-0.0839533,-1.48683,1.07339
-0.0180915,-0.0835119,-1.48726,1.07356
-0.0154786,-0.0820663,-1.4886,1.07412
-0.0145592,-0.0815475,-1.48905,1.07432
-0.0126454,-0.0804565,-1.48996,1.07473
-0.0106286,-0.0792902,-1.4909,1.07517
-0.0106286,-0.0792902,-1.4909,1.07517
-0.0085015,-0.0780492,-1.49188,1.07562
-0.00625688,-0.0767475,-1.49292,1.07611
-0.00508678,-0.0760795,-1.49347,1.07636
-0.00508678,-0.0760795,-1.49347,1.07636
-5.38205e-05,-0.0733196,-1.49588,1.07744
0.00129969,-0.0726107,-1.49657,1.07773
0.00269386,-0.0718954,-1.4973,1.07803
0.00560785,-0.0704511,-1.49888,1.07865
0.00560785,-0.0704511,-1.49888,1.07865
0.00869592,-0.0689872,-1.50067,1.07929
0.0103011,-0.0682508,-1.50162,1.07963
0.0135875,-0.0668003,-1.50342,1.08033
0.0169616,-0.0653863,-1.50503,1.08107
0.0169616,-0.0653863,-1.50503,1.08107
0.0204263,-0.0639921,-1.50646,1.08186
0.0221933,-0.0632972,-1.50711,1.08227
0.0257974,-0.0619071,-1.50829,1.08312
0.0294957,-0.0605174,-1.50929,1.08401
0.0294957,-0.0605174,-1.50929,1.08401
0.0332909,-0.0591197,-1.51011,1.08494
0.0371853,-0.057715,-1.51075,1.08591
0.0391704,-0.0570071,-1.511,1.08641
0.0391704,-0.0570071,-1.511,1.08641
0.0473674,-0.0540735,-1.51163,1.08853
0.0494831,-0.0533046,-1.51171,1.08908
0.0516258,-0.0525176,-1.51175,1.08964
0.0559935,-0.0508878,-1.51175,1.09079
0.0604791,-0.0491745,-1.51165,1.09198
0.0604791,-0.0491745,-1.51165,1.09198
0.062767,-0.0482888,-1.51157,1.09258
0.0674331,-0.0464611,-1.51132,1.09383
0.0722173,-0.0445549,-1.51095,1.09511
0.0746541,-0.0435685,-1.51073,1.09576
0.0771212,-0.0425589,-1.51049,1.09643
0.0821481,-0.0404625,-1.50994,1.09778
0.087305,-0.0382538,-1.50933,1.09917
0.0926141,-0.0359178,-1.50874,1.1006
0.0926141,-0.0359178,-1.50874,1.1006
0.0980916,-0.0334651,-1.50821,1.10205
0.100896,-0.0321986,-1.50796,1.1028
0.103747,-0.0309024,-1.50774,1.10355
0.103747,-0.0309024,-1.50774,1.10355
0.112596,-0.0268329,-1.50728,1.10586
0.118749,-0.0239673,-1.50719,1.10744
0.121897,-0.0224979,-1.50719,1.10825
0.125078,-0.0210234,-1.50714,1.10906
0.128282,-0.0195498,-1.507,1.10989
0.134767,-0.0166041,-1.50646,1.1116
0.138052,-0.0151174,-1.5061,1.11247
0.141364,-0.0136236,-1.50566,1.11335
0.14807,-0.0105873,-1.50462,1.11515
0.154882,-0.00747515,-1.50336,1.11699
0.161789,-0.00431626,-1.50183,1.11887
0.161789,-0.00431626,-1.50183,1.11887
0.16879,-0.00109402,-1.50004,1.1208
0.172326,0.000544419,-1.49907,1.12178
0.172326,0.000544419,-1.49907,1.12178
0.179466,0.00386522,-1.49693,1.12376
0.186691,0.00725265,-1.49456,1.12579
0.193999,0.0107096,-1.49197,1.12784
0.197682,0.012466,-1.4906,1.12888
0.208846,0.0178646,-1.48618,1.13205
0.208846,0.0178646,-1.48618,1.13205
0.212604,0.0197149,-1.48461,1.13312
0.220168,0.0234951,-1.48136,1.13527
0.227797,0.0273857,-1.47796,1.13744
0.23549,0.0313843,-1.47441,1.13964
0.23549,0.0313843,-1.47441,1.13964
0.243245,0.035493,-1.47073,1.14185
0.251057,0.0397131,-1.46694,1.14407
0.254984,0.0418686,-1.465,1.14519
0.262873,0.0462652,-1.46106,1.14743
0.262873,0.0462652,-1.46106,1.14743
0.27081,0.0507781,-1.45703,1.14968
0.278786,0.0553979,-1.45291,1.15194
0.282787,0.0577466,-1.45081,1.15307
0.290816,0.0625256,-1.44658,1.15534
0.290816,0.0625256,-1.44658,1.15534
0.298876,0.0673949,-1.44228,1.15761
0.302916,0.0698537,-1.44008,1.15875
0.306961,0.0723283,-1.43787,1.15989
0.311011,0.0748183,-1.43562,1.16103
0.315065,0.0773213,-1.43335,1.16217
0.323181,0.0823566,-1.42872,1.16446
0.331303,0.0874245,-1.42398,1.16675
0.339428,0.0925225,-1.41913,1.16904
0.347555,0.0976484,-1.4142,1.17133
0.347555,0.0976484,-1.4142,1.17133
0.355682,0.102785,-1.40918,1.17362
0.363806,0.107919,-1.40407,1.17591
0.367864,0.110486,-1.40148,1.17705
0.371919,0.113052,-1.39887,1.1782
0.380015,0.118179,-1.39359,1.18048
0.388091,0.123293,-1.38821,1.18276
0.392122,0.12584,-1.38549,1.1839
0.396148,0.128378,-1.38275,1.18504
0.404181,0.133432,-1.37721,1.18731
0.408188,0.135944,-1.37441,1.18844
0.412187,0.138445,-1.37158,1.18958
0.42016,0.143427,-1.36588,1.19183
0.428095,0.148367,-1.36009,1.19408
0.428095,0.148367,-1.36009,1.19408
0.435989,0.153269,-1.35423,1.19632
0.443844,0.158146,-1.34833,1.19855
0.45166,0.16298,-1.34237,1.20077
0.45166,0.16298,-1.34237,1.20077
0.459436,0.167765,-1.33636,1.20298
0.467171,0.172511,-1.3303,1.20517
0.471021,0.174871,-1.32726,1.20626
0.474861,0.177223,-1.32422,1.20735
0.486309,0.18423,-1.31504,1.21059
0.486309,0.18423,-1.31504,1.21059
0.490099,0.186541,-1.31195,1.21167
0.501388,0.193411,-1.30261,1.21487
0.508847,0.197957,-1.29636,1.21698
0.508847,0.197957,-1.29636,1.21698
0.512555,0.200218,-1.29322,1.21803
0.516248,0.202469,-1.29007,1.21907
0.519926,0.20471,-1.28691,1.22011
0.527245,0.20917,-1.28059,1.22218
0.534507,0.213604,-1.27426,1.22423
0.538115,0.215808,-1.27108,1.22525
0.541708,0.218003,-1.2679,1.22627
0.545286,0.220193,-1.26472,1.22727
0.555935,0.226722,-1.25519,1.23027
0.559455,0.228878,-1.25201,1.23126
0.56296,0.231028,-1.24883,1.23225
0.566449,0.233172,-1.24565,1.23322
0.576828,0.239557,-1.23613,1.23613
0.576828,0.239557,-1.23613,1.23613
0.583674,0.243767,-1.2298,1.23805
0.587075,0.24586,-1.22664,1.239
0.59046,0.247947,-1.22349,1.23994
0.593831,0.25003,-1.22034,1.24088
0.603857,0.256264,-1.21098,1.24367
0.603857,0.256264,-1.21098,1.24367
0.610474,0.2604,-1.2048,1.2455
0.613762,0.262459,-1.20173,1.2464
0.623544,0.268598,-1.19255,1.24909
0.623544,0.268598,-1.19255,1.24909
0.629999,0.272662,-1.18648,1.25086
0.636408,0.276713,-1.18047,1.25261
0.642771,0.280767,-1.17455,1.25434
0.649083,0.284826,-1.1687,1.25605
0.649083,0.284826,-1.1687,1.25605
0.652221,0.286857,-1.1658,1.2569
0.658463,0.290923,-1.16005,1.25857
0.664663,0.294997,-1.1544,1.26023
0.67082,0.299079,-1.14883,1.26186
0.67082,0.299079,-1.14883,1.26186
0.673885,0.301121,-1.14608,1.26267
0.67999,0.305204,-1.14065,1.26428
0.686061,0.309291,-1.13531,1.26587
0.692096,0.31339,-1.13006,1.26744
0.692096,0.31339,-1.13006,1.26744
0.698099,0.317509,-1.12494,1.26898
0.707056,0.323702,-1.11747,1.27128
0.707056,0.323702,-1.11747,1.27128
0.712996,0.327828,-1.11261,1.27279
0.715958,0.329892,-1.11022,1.27353
0.718913,0.331955,-1.10785,1.27428
0.718913,0.331955,-1.10785,1.27428
0.721864,0.334017,-1.1055,1.27502
0.727748,0.338141,-1.10088,1.27649
0.733614,0.342273,-1.09637,1.27795
0.739463,0.346412,-1.09197,1.2794
0.745303,0.35055,-1.08769,1.28083
0.751145,0.354684,-1.08355,1.28225
0.754071,0.356744,-1.08155,1.28296
0.759942,0.360848,-1.07768,1.28437
0.759942,0.360848,-1.07768,1.28437
0.76585,0.364926,-1.07405,1.28577
0.768822,0.366955,-1.07233,1.28647
0.777817,0.372995,-1.06762,1.28857
0.777817,0.372995,-1.06762,1.28857
0.7839,0.376972,-1.06491,1.28996
0.790061,0.380901,-1.0626,1.29135
0.79631,0.384776,-1.06073,1.29273
0.79631,0.384776,-1.06073,1.29273
0.802651,0.388592,-1.05933,1.29412
0.805858,0.390476,-1.05881,1.29481
0.812344,0.394196,-1.05817,1.29619
0.818931,0.397844,-1.05807,1.29756
0.825611,0.401408,-1.05851,1.29893
0.828955,0.403166,-1.05877,1.29962
0.832283,0.40491,-1.05897,1.3003
0.835598,0.406637,-1.0591,1.30098
