x,y,z,yaw
1.53774,-3.51231,5.44613,-1.29017
1.50188,-3.50589,5.44686,-1.30153
1.47029,-3.5016,5.44985,-1.31163
1.47421,-3.49834,5.45636,-1.30999
1.56178,-3.50835,5.47227,-1.28178
1.55459,-3.5077,5.47238,-1.28413
1.5434,-3.5065,5.47386,-1.28775
1.54104,-3.50634,5.47555,-1.28853
1.52662,-3.50385,5.4781,-1.2931
1.51816,-3.50199,5.48204,-1.29574
1.50347,-3.49889,5.48749,-1.30032
1.49816,-3.4966,5.49292,-1.30186
1.49091,-3.49422,5.49811,-1.30405
1.48593,-3.4927,5.50137,-1.30551
1.47639,-3.48943,5.50609,-1.30836
1.47131,-3.48557,5.51291,-1.30968
1.46854,-3.48342,5.51588,-1.31035
1.46632,-3.48038,5.52008,-1.31078
1.46389,-3.47629,5.52474,-1.31122
1.46502,-3.4746,5.52699,-1.31062
1.4652,-3.47069,5.53051,-1.31021
1.45264,-3.46714,5.53016,-1.31398
1.44986,-3.4642,5.53144,-1.3146
1.44507,-3.46057,5.53255,-1.31586
1.44426,-3.45901,5.53324,-1.31589
1.44808,-3.45581,5.53554,-1.31437
1.4451,-3.4523,5.5363,-1.31501
1.44843,-3.44987,5.53757,-1.31367
1.43662,-3.44581,5.53593,-1.31712
1.43504,-3.44317,5.53524,-1.31741
1.43748,-3.4416,5.53517,-1.31642
1.44069,-3.4389,5.53369,-1.31513
1.45256,-3.43715,5.53365,-1.31105
1.45817,-3.43433,5.53073,-1.30893
1.45946,-3.43277,5.52845,-1.30832
1.45851,-3.43033,5.52128,-1.30838
1.46228,-3.42822,5.51567,-1.30692
1.4686,-3.42645,5.50954,-1.30462
1.4823,-3.42507,5.50108,-1.29988
1.48901,-3.42397,5.49397,-1.29752
1.49985,-3.4236,5.48742,-1.29379
1.50829,-3.42361,5.48052,-1.29092
1.51403,-3.42373,5.47325,-1.28901
1.52771,-3.42549,5.46745,-1.28454
1.5441,-3.42825,5.46043,-1.27923
1.54878,-3.42972,5.45531,-1.27776
1.5563,-3.43388,5.44996,-1.27553
1.55785,-3.43552,5.44796,-1.27521
1.56155,-3.43811,5.4463,-1.27422
1.56221,-3.44222,5.44489,-1.2744
1.55796,-3.44648,5.4443,-1.27622
1.56094,-3.44961,5.44513,-1.27561
1.55605,-3.45391,5.44537,-1.27768
1.54891,-3.45967,5.44703,-1.28071
1.54477,-3.46445,5.44905,-1.2826
1.53901,-3.46838,5.45159,-1.28496
1.53365,-3.47352,5.45394,-1.28729
1.52185,-3.47827,5.45486,-1.29174
1.51216,-3.48512,5.45643,-1.29568
1.50898,-3.49075,5.45794,-1.29731
1.51198,-3.49763,5.45979,-1.29701
1.51334,-3.50449,5.46118,-1.29725
1.51782,-3.5124,5.46283,-1.29656
1.51796,-3.51791,5.46318,-1.29707
1.51806,-3.52969,5.46372,-1.29823
1.52032,-3.5387,5.46476,-1.29839
1.51972,-3.5481,5.4654,-1.29954
1.51613,-3.56079,5.46638,-1.30201
1.51729,-3.57591,5.46857,-1.30315
1.52378,-3.58838,5.47172,-1.30226
1.52455,-3.60105,5.47467,-1.30328
1.52921,-3.61437,5.47904,-1.30308
1.52508,-3.62269,5.48114,-1.30526
1.53092,-3.64098,5.48781,-1.30518
1.52921,-3.65429,5.49213,-1.30705
1.53434,-3.6685,5.49735,-1.30679
1.54239,-3.68872,5.50393,-1.30619
1.54404,-3.69873,5.50683,-1.30664
1.54282,-3.71323,5.51043,-1.30846
1.55979,-3.74299,5.5167,-1.30594
1.56988,-3.75728,5.51824,-1.30412
1.60087,-3.79026,5.5198,-1.29744
1.63854,-3.81886,5.52049,-1.28822
1.68775,-3.84995,5.52105,-1.27556
1.72447,-3.87204,5.52124,-1.26606
1.64428,-3.8824,5.51615,-1.29281
1.59378,-3.89289,5.51381,-1.30988
1.54733,-3.90397,5.51281,-1.32555
1.507,-3.91606,5.51348,-1.33918
1.48359,-3.92521,5.5146,-1.34719
1.44996,-3.93859,5.51716,-1.35869
1.39825,-3.96319,5.52224,-1.37652
1.37296,-3.9795,5.52636,-1.38542
1.35141,-3.99713,5.53077,-1.39322
1.34107,-4.01685,5.53662,-1.39764
1.33451,-4.03701,5.54349,-1.4011
1.33213,-4.06058,5.54967,-1.4036
1.35737,-4.10269,5.55771,-1.39966
1.33728,-4.11973,5.55691,-1.40679
1.39666,-4.16028,5.56467,-1.39275
1.36974,-4.18347,5.56545,-1.40229
1.29766,-4.19636,5.56463,-1.42359
1.21077,-4.21413,5.56419,-1.44907
1.17704,-4.22315,5.56578,-1.45862
1.11571,-4.24084,5.56913,-1.47619
1.08305,-4.2547,5.57336,-1.4856
1.03913,-4.2714,5.57872,-1.49829
1.01648,-4.28378,5.58412,-1.50454
0.988877,-4.29422,5.5886,-1.51236
0.974487,-4.30465,5.59527,-1.51644
0.965721,-4.31562,5.60173,-1.51911
0.952274,-4.32721,5.60954,-1.52293
0.95121,-4.33461,5.6166,-1.52341
0.944817,-4.34111,5.62135,-1.52504
0.935891,-4.34708,5.62458,-1.52746
0.92338,-4.35179,5.62621,-1.53075
0.913701,-4.35471,5.62802,-1.53358
0.905996,-4.3574,5.62899,-1.53542
0.902599,-4.36046,5.62978,-1.53662
0.893885,-4.36187,5.62936,-1.53872
0.873253,-4.36393,5.6255,-1.54402
0.856447,-4.3646,5.62231,-1.5485
0.84101,-4.36427,5.61952,-1.55238
0.830478,-4.36536,5.61702,-1.5549
0.819333,-4.3661,5.61469,-1.55775
0.808093,-4.36694,5.61243,-1.56064
0.796097,-4.36762,5.6109,-1.56383
0.794132,-4.3698,5.61106,-1.56423
0.792237,-4.37021,5.6119,-1.5647
0.792002,-4.37271,5.61398,-1.56499
0.789417,-4.37485,5.61421,-1.56572
0.78599,-4.37585,5.61421,-1.56645
0.78223,-4.37954,5.61395,-1.56758
0.781974,-4.38309,5.6145,-1.56778
0.788513,-4.38789,5.616,-1.56641
0.802342,-4.39496,5.61955,-1.56337
0.803606,-4.3987,5.62029,-1.56311
0.818921,-4.4059,5.62407,-1.55967
0.841103,-4.41842,5.63041,-1.55473
0.8535,-4.42423,5.63344,-1.5519
0.86698,-4.43345,5.63686,-1.54893
0.881267,-4.44343,5.64053,-1.54585
0.897173,-4.45692,5.64516,-1.54251
0.917424,-4.46944,5.64901,-1.53809
0.940725,-4.48624,5.65414,-1.53308
0.949976,-4.49542,5.65608,-1.53127
0.967262,-4.51603,5.65823,-1.528
0.992814,-4.53721,5.65876,-1.52288
1.03144,-4.56318,5.65842,-1.51483
1.08608,-4.59334,5.65763,-1.50312
1.16184,-4.62695,5.65658,-1.4864
1.2599,-4.66296,5.65503,-1.46418
1.40802,-4.71135,5.65217,-1.42982
1.36802,-4.71558,5.64994,-1.44033
1.2338,-4.7066,5.64949,-1.47335
1.14717,-4.70204,5.65045,-1.49425
1.08506,-4.70376,5.65299,-1.50923
1.00849,-4.70818,5.65598,-1.5276
0.984998,-4.71334,5.65869,-1.53322
0.947597,-4.72685,5.66337,-1.54253
0.929141,-4.7392,5.66706,-1.54726
0.932473,-4.74659,5.6729,-1.54649
0.933372,-4.76009,5.67866,-1.54677
0.943352,-4.77733,5.68689,-1.54506
0.939001,-4.79245,5.68841,-1.54663
0.939582,-4.80374,5.68921,-1.54699
0.939466,-4.82516,5.69023,-1.54801
0.948168,-4.84402,5.69095,-1.54686
0.961464,-4.86391,5.69145,-1.54473
0.977878,-4.88885,5.69223,-1.54212
0.983114,-4.89947,5.69296,-1.54138
1.00012,-4.91939,5.69293,-1.53848
1.01197,-4.94235,5.69015,-1.53696
1.06391,-4.98617,5.68309,-1.52756
1.1093,-5.01235,5.67905,-1.51875
1.19994,-5.0545,5.67194,-1.5005
1.30097,-5.09739,5.66431,-1.47985
1.21245,-5.08803,5.6675,-1.49952
1.18652,-5.08631,5.66936,-1.50525
1.16778,-5.08625,5.67226,-1.50938
1.11559,-5.08964,5.67883,-1.52103
1.05328,-5.08686,5.68648,-1.5344
0.977856,-5.08625,5.69522,-1.55056
0.951077,-5.08995,5.6989,-1.55626
0.89689,-5.09056,5.70925,-1.56765
0.87479,-5.09691,5.71604,-1.57229
0.858304,-5.10434,5.72247,-1.57582
0.8519,-5.11546,5.72756,-1.57741
0.836602,-5.12759,5.73378,-1.58093
0.828283,-5.13746,5.73863,-1.58277
0.820369,-5.14619,5.74406,-1.58462
0.807446,-5.15209,5.75055,-1.5872
0.792367,-5.1583,5.75647,-1.59033
0.788841,-5.16758,5.76267,-1.59115
0.793868,-5.17948,5.76865,-1.59031
0.802921,-5.19242,5.77422,-1.58869
0.796666,-5.203,5.78199,-1.59014
0.793352,-5.21064,5.78797,-1.5908
0.792802,-5.21863,5.794,-1.59103
0.783515,-5.22467,5.79903,-1.59294
0.778149,-5.23274,5.80566,-1.594
0.782163,-5.24175,5.80865,-1.59338
0.791055,-5.25502,5.81092,-1.59198
0.788274,-5.25814,5.81239,-1.59255
0.792247,-5.26592,5.81605,-1.59188
0.791032,-5.27347,5.81961,-1.59228
0.800208,-5.28372,5.8219,-1.59068
0.801032,-5.29005,5.82609,-1.59053
0.807085,-5.29845,5.83009,-1.58947
0.802846,-5.30194,5.83569,-1.59024
0.807994,-5.31039,5.84127,-1.58932
0.805334,-5.31171,5.84457,-1.58976
0.798546,-5.31455,5.85181,-1.59102
0.797928,-5.31689,5.85381,-1.59113
0.80064,-5.3207,5.85673,-1.59063
0.79438,-5.32242,5.86062,-1.59183
0.790087,-5.32136,5.86335,-1.59255
0.789675,-5.32204,5.86661,-1.59255
