x,y,z,yaw
-3.49565,18.9779,1.42397,2.04992
-3.50749,19.0461,1.54342,2.06036
-3.5128,19.0736,1.58488,2.06393
-3.51232,19.082,1.57694,2.0637
-3.50647,19.0877,1.53522,2.06178
-3.50205,19.0824,1.50465,2.06003
-3.50229,19.0836,1.50639,2.06017
-3.50256,19.086,1.50791,2.06034
-3.50277,19.0892,1.50875,2.0605
-3.50275,19.0933,1.50803,2.06063
-3.50305,19.0975,1.50663,2.06061
-3.50285,19.1033,1.50411,2.0607
-3.50315,19.1108,1.50362,2.06091
-3.50341,19.1195,1.50306,2.06118
-3.50267,19.1262,1.4951,2.06098
-3.50226,19.1412,1.49855,2.06208
-3.50116,19.1526,1.49398,2.06251
-3.5,19.1677,1.49432,2.06354
-3.49898,19.179,1.48857,2.06383
-3.4977,19.1931,1.48629,2.06462
-3.49552,19.2066,1.48018,2.06531
-3.49412,19.2187,1.47425,2.06573
-3.49188,19.2376,1.46772,2.06664
-3.48837,19.2562,1.45935,2.06774
-3.487,19.2627,1.45745,2.06825
-3.48592,19.2688,1.45618,2.06872
-3.48378,19.2832,1.45723,2.07006
-3.48177,19.2956,1.4578,2.07123
-3.47982,19.3075,1.45898,2.07242
-3.47742,19.3191,1.46011,2.0737
-3.47587,19.328,1.46123,2.07464
-3.47434,19.3376,1.46442,2.07577
-3.47244,19.3442,1.46411,2.07657
-3.47092,19.349,1.46317,2.07713
-3.46844,19.3501,1.45645,2.0773
-3.46657,19.3521,1.45289,2.07761
-3.4638,19.3567,1.45023,2.07837
-3.46047,19.3595,1.44439,2.07893
-3.45966,19.3605,1.44357,2.07913
-3.45851,19.3614,1.44146,2.07931
-3.45647,19.3629,1.43859,2.07971
-3.45382,19.3667,1.43776,2.08055
-3.45109,19.3699,1.43742,2.08143
-3.45016,19.3696,1.43591,2.08155
-3.44925,19.3707,1.43622,2.08189
-3.4459,19.3681,1.42948,2.08214
-3.44313,19.3681,1.43025,2.08299
-3.44235,19.3683,1.43173,2.08335
-3.44206,19.3679,1.43383,2.08359
-3.44091,19.3659,1.432,2.08367
-3.44029,19.3656,1.43413,2.08401
-3.43888,19.3623,1.43451,2.0843
-3.4374,19.36,1.4377,2.08489
-3.43608,19.3559,1.43476,2.08483
-3.43546,19.3549,1.43779,2.08522
-3.43457,19.3525,1.43872,2.08545
-3.43346,19.3465,1.44139,2.08572
-3.4317,19.336,1.43872,2.08553
-3.43063,19.3302,1.43693,2.08542
-3.43007,19.3246,1.43704,2.08534
-3.42943,19.3183,1.4369,2.08523
-3.42892,19.3117,1.43725,2.08511
-3.42841,19.3017,1.44556,2.08554
-3.42743,19.2868,1.44793,2.08536
-3.42711,19.2805,1.45186,2.08552
-3.42677,19.2739,1.45572,2.08566
-3.42659,19.2666,1.45932,2.0857
-3.42606,19.2513,1.46542,2.08571
-3.42573,19.2364,1.4739,2.08589
-3.42538,19.2268,1.47446,2.08562
-3.4249,19.2189,1.47685,2.08562
-3.42497,19.2111,1.48092,2.08561
-3.4249,19.198,1.49143,2.08599
-3.42462,19.1832,1.49843,2.08604
